,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,,-additional
Rk,Player,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Antowain Smith,29,RB,16,15,287,1157,12,61,45.6,44,4.0,72.3,17.9,28,19,192,10.1,1,6,35.7,41,1.2,12.0,67.9,6.9,306,4.4,1349,13,4,,SmitAn00
2,Kevin Faulk,25,RB,15,1,41,169,1,10,39.0,24,4.1,11.3,2.7,36,30,189,6.3,2,9,50.0,28,2.0,12.6,83.3,5.3,71,5.0,358,3,2,,FaulKe00
3,Marc Edwards,27,FB,16,13,51,141,1,16,49.0,14,2.8,8.8,3.2,39,25,166,6.6,2,11,35.9,17,1.6,10.4,64.1,4.3,76,4.0,307,3,3,,EdwaMa00
4,J.R. Redmond,24,RB,12,0,35,119,0,5,28.6,16,3.4,9.9,2.9,21,13,132,10.2,0,6,47.6,17,1.1,11.0,61.9,6.3,48,5.2,251,0,0,,RedmJ.00
5,Troy Brown,30,WR,16,13,11,91,0,3,54.5,31,8.3,5.7,0.7,142,101,1199,11.9,5,60,61.3,60,6.3,74.9,71.1,8.4,112,11.5,1290,5,2,PB,BrowTr00
6,David Patten,27,WR,16,14,5,67,1,3,100.0,29,13.4,4.2,0.3,93,51,749,14.7,4,34,47.3,91,3.2,46.8,54.8,8.1,56,14.6,816,5,1,,PattDa00
7,Tom Brady,24,QB,15,14,36,43,0,7,25.0,12,1.2,2.9,2.4,1,1,23,23.0,0,1,100.0,23,0.1,1.5,100.0,23.0,37,1.8,66,0,12,PB,BradTo00
8,Drew Bledsoe,29,QB,2,2,5,18,0,1,20.0,8,3.6,9.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,3.6,18,0,1,,BledDr00
9,Patrick Pass,24,FB,16,0,1,7,0,0,100.0,7,7.0,0.4,0.1,10,6,66,11.0,1,3,40.0,23,0.4,4.1,60.0,6.6,7,10.4,73,1,0,,PassPa00
10,Terry Glenn,27,WR,4,1,0,0,0,0,,,,0.0,0.0,24,14,204,14.6,1,11,54.2,23,3.5,51.0,58.3,8.5,14,14.6,204,1,0,,GlenTe00
11,Jermaine Wiggins,26,TE,16,6,0,0,0,0,,,,0.0,0.0,21,14,133,9.5,4,10,52.4,31,0.9,8.3,66.7,6.3,14,9.5,133,4,0,,WiggJe00
12,Charles Johnson,29,WR,14,2,0,0,0,0,,,,0.0,0.0,25,14,111,7.9,1,6,40.0,24,1.0,7.9,56.0,4.4,14,7.9,111,1,0,,JohnCh00
13,Fred Coleman,26,WR,8,0,0,0,0,0,,,,0.0,0.0,4,2,50,25.0,0,1,50.0,46,0.3,6.3,50.0,12.5,2,25.0,50,0,0,,ColeFr00
14,Rod Rutledge,26,TE,15,14,0,0,0,0,,,,0.0,0.0,8,5,35,7.0,0,0,0.0,9,0.3,2.3,62.5,4.4,5,7.0,35,0,0,,RutlRo00
15,Torrance Small,31,WR,3,0,0,0,0,0,,,,0.0,0.0,7,4,29,7.3,0,3,42.9,11,1.3,9.7,57.1,4.1,4,7.3,29,0,0,,SmalTo00
16,Bert Emanuel,31,WR,2,1,0,0,0,0,,,,0.0,0.0,11,4,25,6.3,0,2,27.3,16,2.0,12.5,36.4,2.3,4,6.3,25,0,0,,EmanBe00
17,Curtis Jackson,28,WR,2,0,0,0,0,0,,,,0.0,0.0,2,2,16,8.0,0,1,100.0,12,1.0,8.0,100.0,8.0,2,8.0,16,0,0,,JackCu00
18,Bryan Cox,33,LLB,11,7,0,0,0,0,,,,0.0,0.0,1,1,7,7.0,0,1,100.0,7,0.1,0.6,100.0,7.0,1,7.0,7,0,0,,CoxxBr00
19,Terrell Buckley,30,DB,15,1,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,BuckTe20
20,Lee Johnson,40,P,5,0,1,-19,0,0,0.0,-19,-19.0,-3.8,0.2,0,0,0,,0,0,,,0.0,0.0,,,1,-19.0,-19,0,1,,johnslee01
,Team Totals,,,16,16,473,1793,15,106,43.1,44,3.8,112.1,29.6,475,306,3326,10.9,21,165,49.1,91,19.1,207.9,64.4,7.0,779,6.6,5119,36,26,,-9999
