Rk,Player,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Michael Pittman,27,RB,16,15,204,718,1,37,41.7,21,3.5,44.9,12.8,86,59,477,8.1,0,19,40.7,64,3.7,29.8,68.6,5.5,263,4.5,1195,1,3,,PittMi00
2,Mike Alstott,29,FB,16,9,146,548,5,37,42.5,32,3.8,34.3,9.1,48,35,242,6.9,2,11,54.2,44,2.2,15.1,72.9,5.0,181,4.4,790,7,4,PB,AlstMi00
3,Aaron Stecker,27,RB,16,1,28,174,0,8,46.4,59,6.2,10.9,1.8,16,13,69,5.3,0,2,43.8,12,0.8,4.3,81.3,4.3,41,5.9,243,0,3,,StecAa00
4,Rob Johnson,29,QB,6,2,14,73,0,4,57.1,21,5.2,12.2,2.3,0,0,0,,0,0,,,0.0,0.0,,,14,5.2,73,0,2,,JohnRo00
5,Brad Johnson,34,QB,13,13,13,30,0,4,53.8,6,2.3,2.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,13,2.3,30,0,8,PB,JohnBr00
6,Shaun King,25,QB,3,1,4,25,0,1,50.0,15,6.3,8.3,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,6.3,25,0,0,,KingSh00
7,Keenan McCardell,32,WR,14,14,1,3,0,0,100.0,3,3.0,0.2,0.1,101,61,670,11.0,6,31,51.5,65,4.4,47.9,60.4,6.6,62,10.9,673,6,1,,McCaKe00
8,Keyshawn Johnson,30,WR,16,16,0,0,0,0,,,,0.0,0.0,142,76,1088,14.3,5,53,50.7,76,4.8,68.0,53.5,7.7,76,14.3,1088,5,0,,JohnKe00
9,Joe Jurevicius,28,WR,15,3,0,0,0,0,,,,0.0,0.0,52,37,423,11.4,4,24,61.5,26,2.5,28.2,71.2,8.1,37,11.4,423,4,1,,JureJo00
10,Ken Dilger,31,TE,16,15,0,0,0,0,,,,0.0,0.0,48,34,329,9.7,2,14,58.3,40,2.1,20.6,70.8,6.9,34,9.7,329,2,1,,DilgKe00
11,Rickey Dudley,30,TE,14,3,0,0,0,0,,,,0.0,0.0,26,16,192,12.0,3,9,46.2,35,1.1,13.7,61.5,7.4,16,12.0,192,3,0,,DudlRi00
12,Jameel Cook,23,FB,14,1,0,0,0,0,,,,0.0,0.0,6,4,43,10.8,0,3,50.0,14,0.3,3.1,66.7,7.2,4,10.8,43,0,0,,CookJa00
13,Todd Yoder,24,TE,16,0,0,0,0,0,,,,0.0,0.0,5,2,26,13.0,0,2,40.0,16,0.1,1.6,40.0,5.2,2,13.0,26,0,0,,YodeTo00
14,Reggie Barlow,29,WR,2,1,0,0,0,0,,,,0.0,0.0,5,3,23,7.7,0,2,60.0,13,1.5,11.5,60.0,4.6,3,7.7,23,0,0,,BarlRe00
15,Travis Stephens,24,RB,1,0,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,0,0.0,6,1.0,6.0,100.0,6.0,1,6.0,6,0,0,,StepTr01
16,Marco Battaglia,29,TE,2,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,BattMa00
17,John Howell,24,DB,16,1,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,HoweJo21
18,Karl Williams,31,WR,16,2,3,-5,0,0,0.0,,-1.7,-0.3,0.2,11,7,77,11.0,1,4,63.6,17,0.4,4.8,63.6,7.0,10,7.2,72,1,0,,WillKa00
19,Tom Tupa,36,P,16,0,1,-9,0,0,0.0,-9,-9.0,-0.6,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,-9.0,-9,0,0,,TupaTo20
,Team Totals,,,16,16,414,1557,6,91,43.0,59,3.8,97.3,25.9,549,348,3665,10.5,23,174,50.8,76,21.8,229.1,63.4,6.7,762,6.9,5222,29,23,,-9999
