,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,,-additional
Rk,Player,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Corey Dillon,30,RB,15,14,345,1635,12,84,53.0,44,4.7,109.0,23.0,21,15,103,6.9,1,3,52.4,20,1.0,6.9,71.4,4.9,360,4.8,1738,13,5,PBAP CPoY-5,DillCo00
2,Kevin Faulk,28,RB,11,1,54,255,2,14,51.9,20,4.7,23.2,4.9,30,26,248,9.5,1,14,50.0,31,2.4,22.5,86.7,8.3,80,6.3,503,3,2,,FaulKe00
3,Patrick Pass,27,FB,14,4,39,141,0,8,43.6,19,3.6,10.1,2.8,32,28,215,7.7,0,7,40.6,22,2.0,15.4,87.5,6.7,67,5.3,356,0,1,,PassPa00
4,Cedric Cobbs,23,RB,3,0,22,50,0,3,27.3,13,2.3,16.7,7.3,0,0,0,,0,0,,,0.0,0.0,,,22,2.3,50,0,1,,CobbCe00
5,Tom Brady,27,QB,16,16,43,28,0,12,27.9,10,0.7,1.8,2.7,0,0,0,,0,0,,,0.0,0.0,,,43,0.7,28,0,7,PB,BradTo00
6,Rabih Abdullah,29,RB,9,0,13,13,1,3,23.1,5,1.0,1.4,1.4,2,1,9,9.0,0,0,0.0,9,0.1,1.0,50.0,4.5,14,1.6,22,1,0,,AbduRa00
7,Bethel Johnson,25,WR,13,1,2,8,0,1,50.0,11,4.0,0.6,0.2,21,10,174,17.4,1,8,42.9,48,0.8,13.4,47.6,8.3,12,15.2,182,1,2,,JohnBe00
8,David Patten,30,WR,16,11,1,5,0,0,100.0,5,5.0,0.3,0.1,95,44,800,18.2,7,36,45.3,48,2.8,50.0,46.3,8.4,45,17.9,805,7,0,,PattDa00
9,David Givens,24,WR,15,12,0,0,0,0,,,,0.0,0.0,106,56,874,15.6,3,47,49.1,50,3.7,58.3,52.8,8.2,56,15.6,874,3,0,,GiveDa00
10,Deion Branch,25,WR,9,9,0,0,0,0,,,,0.0,0.0,51,35,454,13.0,4,27,60.8,26,3.9,50.4,68.6,8.9,35,13.0,454,4,1,,BranDe00
11,Daniel Graham,26,TE,14,14,0,0,0,0,,,,0.0,0.0,48,30,364,12.1,7,20,56.3,48,2.1,26.0,62.5,7.6,30,12.1,364,7,0,,GrahDa00
12,Christian Fauria,33,TE,16,10,0,0,0,0,,,,0.0,0.0,20,16,195,12.2,2,9,80.0,25,1.0,12.2,80.0,9.8,16,12.2,195,2,0,,FaurCh00
13,Troy Brown,33,WR/DB,12,0,0,0,0,0,,,,0.0,0.0,29,17,184,10.8,1,11,51.7,22,1.4,15.3,58.6,6.3,17,10.8,184,1,1,,BrowTr00
14,Jed Weaver,28,TE,10,1,0,0,0,0,,,,0.0,0.0,12,8,93,11.6,0,6,66.7,25,0.8,9.3,66.7,7.8,8,11.6,93,0,0,,WeavJe00
15,Dan Klecko,23,DT,6,2,0,0,0,0,,,,0.0,0.0,3,3,18,6.0,0,1,66.7,11,0.5,3.0,100.0,6.0,3,6.0,18,0,1,,KlecDa20
16,Ben Watson,24,TE,1,1,0,0,0,0,,,,0.0,0.0,4,2,16,8.0,0,1,25.0,14,2.0,16.0,50.0,4.0,2,8.0,16,0,0,,WatsBe00
17,Mike Vrabel,29,ROLB,16,15,0,0,0,0,,,,0.0,0.0,3,2,3,1.5,2,2,66.7,2,0.1,0.2,66.7,1.0,2,1.5,3,2,0,,VrabMi20
18,Larry Izzo,30,LB,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,PB,IzzoLa00
19,Kevin Kasper,27,WR,8,0,0,0,0,0,,,,0.0,0.0,3,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,KaspKe00
20,Rohan Davey,26,QB,4,0,4,-1,0,0,0.0,3,-0.3,-0.3,1.0,0,0,0,,0,0,,,0.0,0.0,,,4,-0.3,-1,0,0,,DaveRo01
,Team Totals,,,16,16,524,2134,15,125,47.9,44,4.1,133.4,32.8,480,293,3750,12.8,29,192,51.0,50,18.3,234.4,61.0,7.8,817,7.2,5884,44,21,,-9999
