Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Corey Dillon,30,RB,3,3,65,292,2,14,43.1,42,4.5,97.3,21.7,10,9,53,5.9,0,2,40.0,16,3.0,17.7,90.0,5.3,74,4.7,345,2,0,,DillCo00
2,Deion Branch,25,WR,3,3,3,41,1,2,100.0,23,13.7,13.7,1.0,19,16,264,16.5,1,10,78.9,60,5.3,88.0,84.2,13.9,19,16.1,305,2,0,SB MVP,BranDe00
3,Kevin Faulk,28,RB,3,0,22,114,0,6,50.0,17,5.2,38.0,7.3,3,3,38,12.7,0,3,100.0,14,1.0,12.7,100.0,12.7,25,6.1,152,0,0,,FaulKe00
4,David Givens,24,WR,3,2,1,-2,0,0,0.0,-2,-2.0,-0.7,0.3,24,12,104,8.7,3,8,37.5,18,4.0,34.7,50.0,4.3,13,7.8,102,3,1,,GiveDa00
5,Troy Brown,33,WR/DB,3,1,0,0,0,0,,,,0.0,0.0,6,5,41,8.2,0,3,50.0,12,1.7,13.7,83.3,6.8,5,8.2,41,0,0,,BrowTr00
6,Christian Fauria,33,TE,2,2,0,0,0,0,,,,0.0,0.0,3,2,26,13.0,0,1,66.7,17,1.0,13.0,66.7,8.7,2,13.0,26,0,0,,FaurCh00
7,David Patten,30,WR,3,0,0,0,0,0,,,,0.0,0.0,10,2,20,10.0,0,2,20.0,12,0.7,6.7,20.0,2.0,2,10.0,20,0,0,,PattDa00
8,Daniel Graham,26,TE,3,2,0,0,0,0,,,,0.0,0.0,3,3,16,5.3,0,1,66.7,10,1.0,5.3,100.0,5.3,3,5.3,16,0,0,,GrahDa00
9,Patrick Pass,27,FB,2,1,1,0,0,0,0.0,,0.0,0.0,0.5,1,1,14,14.0,0,1,100.0,14,0.5,7.0,100.0,14.0,2,7.0,14,0,0,,PassPa00
10,Bethel Johnson,25,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,9,9.0,0,0,100.0,9,1.0,9.0,100.0,9.0,1,9.0,9,0,0,,JohnBe00
11,Tom Brady,27,QB,3,3,7,3,1,2,28.6,3,0.4,1.0,2.3,0,0,0,,0,0,,,0.0,0.0,,,7,0.4,3,1,1,,BradTo00
12,Mike Vrabel,29,ROLB,1,1,0,0,0,0,,,,0.0,0.0,1,1,2,2.0,1,1,100.0,2,1.0,2.0,100.0,2.0,1,2.0,2,1,0,,VrabMi20
,Team Totals,,,3,3,99,448,4,24,44.4,42,4.5,149.3,33.0,81,55,587,10.7,5,32,53.1,60,18.3,195.7,67.9,7.2,154,6.7,1035,9,2,,-9999
