,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,,-additional
Rk,Player,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Willie Parker,25,RB,15,15,255,1202,4,48,47.1,80,4.7,80.1,17.0,24,18,218,12.1,1,9,58.3,48,1.2,14.5,75.0,9.1,273,5.2,1420,5,4,,ParkWi00
2,Jerome Bettis,33,RB,12,0,110,368,9,30,50.0,39,3.3,30.7,9.2,4,4,40,10.0,0,2,100.0,16,0.3,3.3,100.0,10.0,114,3.6,408,9,0,,BettJe00
3,Verron Haynes,26,RB,14,0,74,274,3,17,31.1,20,3.7,19.6,5.3,17,11,113,10.3,0,5,35.3,18,0.8,8.1,64.7,6.6,85,4.6,387,3,2,,HaynVe00
4,Duce Staley,30,RB,5,1,38,148,1,10,47.4,17,3.9,29.6,7.6,7,6,34,5.7,0,0,42.9,9,1.2,6.8,85.7,4.9,44,4.1,182,1,1,,StalDu00
5,Antwaan Randle El,26,WR,16,15,12,73,0,2,41.7,43,6.1,4.6,0.8,70,35,558,15.9,1,23,45.7,63,2.2,34.9,50.0,8.0,47,13.4,631,1,4,,RandAn00
6,Ben Roethlisberger,23,QB,12,12,31,69,3,10,32.3,13,2.2,5.8,2.6,0,0,0,,0,0,,,0.0,0.0,,,31,2.2,69,3,2,,RoetBe00
7,Charlie Batch,31,QB,4,2,11,30,1,3,27.3,15,2.7,7.5,2.8,0,0,0,,0,0,,,0.0,0.0,,,11,2.7,30,1,1,,BatcCh00
8,Tommy Maddox,34,QB,4,2,8,26,0,2,25.0,16,3.3,6.5,2.0,0,0,0,,0,0,,,0.0,0.0,,,8,3.3,26,0,2,,MaddTo00
9,Dan Kreider,28,FB,16,8,3,21,0,1,66.7,12,7.0,1.3,0.2,11,7,43,6.1,0,1,63.6,9,0.4,2.7,63.6,3.9,10,6.4,64,0,0,,KreiDa00
10,Hines Ward,29,WR,15,15,3,10,0,1,66.7,7,3.3,0.7,0.2,114,69,975,14.1,11,52,57.9,85,4.6,65.0,60.5,8.6,72,13.7,985,11,1,,WardHi00
11,Noah Herron,23,RB,2,0,3,2,0,0,0.0,1,0.7,1.0,1.5,0,0,0,,0,0,,,0.0,0.0,,,3,0.7,2,0,0,,HerrNo00
12,Heath Miller,23,TE,16,15,0,0,0,0,,,,0.0,0.0,52,39,459,11.8,6,22,55.8,50,2.4,28.7,75.0,8.8,39,11.8,459,6,0,AP ORoY-2,MillHe00
13,Cedrick Wilson,27,WR,16,1,1,0,0,0,0.0,,0.0,0.0,0.1,52,26,451,17.3,0,20,42.3,46,1.6,28.2,50.0,8.7,27,16.7,451,0,1,,WilsCe00
14,Quincy Morgan,28,WR,16,0,0,0,0,0,,,,0.0,0.0,18,9,150,16.7,2,7,50.0,31,0.6,9.4,50.0,8.3,9,16.7,150,2,1,,MorgQu00
15,Jerame Tuman,29,TE,15,9,0,0,0,0,,,,0.0,0.0,4,3,57,19.0,0,2,75.0,27,0.2,3.8,75.0,14.3,3,19.0,57,0,0,,TumaJe00
16,Matt Kranchick,26,TE,4,1,0,0,0,0,,,,0.0,0.0,1,1,6,6.0,0,0,0.0,6,0.3,1.5,100.0,6.0,1,6.0,6,0,0,,KranMa00
17,Nate Washington,22,WR,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,WashNa00
,Team Totals,,,16,16,549,2223,21,124,43.7,80,4.0,138.9,34.3,375,228,3104,13.6,21,143,52.0,85,14.3,194.0,60.8,8.3,777,6.9,5327,42,19,,-9999
