Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Willie Parker,28,RB,3,3,70,246,2,12,44.3,27,3.5,82.0,23.3,4,2,-4,-2.0,0,0,0.0,-2,0.7,-1.3,50.0,-1.0,72,3.4,242,2,1,,ParkWi00
2,Santonio Holmes,24,WR,3,2,2,7,0,1,50.0,4,3.5,2.3,0.7,26,13,226,17.4,2,10,42.3,65,4.3,75.3,50.0,8.7,15,15.5,233,2,1,SB MVP,HolmSa00
3,Hines Ward,32,WR,3,3,0,0,0,0,,,,0.0,0.0,11,9,168,18.7,0,7,63.6,45,3.0,56.0,81.8,15.3,9,18.7,168,0,0,,WardHi00
4,Heath Miller,26,TE,3,3,0,0,0,0,,,,0.0,0.0,16,11,156,14.2,1,7,56.3,30,3.7,52.0,68.8,9.8,11,14.2,156,1,0,,MillHe00
5,Nate Washington,25,WR,3,0,1,1,0,0,0.0,1,1.0,0.3,0.3,16,7,62,8.9,0,3,43.8,18,2.3,20.7,43.8,3.9,8,7.9,63,0,0,,WashNa00
6,Mewelde Moore,26,RB,3,0,5,25,0,1,40.0,6,5.0,8.3,1.7,5,4,25,6.3,0,0,20.0,9,1.3,8.3,80.0,5.0,9,5.6,50,0,0,,MoorMe00
7,Carey Davis,27,RB,3,0,1,0,0,0,0.0,,0.0,0.0,0.3,5,5,33,6.6,0,1,20.0,20,1.7,11.0,100.0,6.6,6,5.5,33,0,0,,DaviCa00
8,Limas Sweed,24,WR,2,0,0,0,0,0,,,,0.0,0.0,5,2,20,10.0,0,1,40.0,14,1.0,10.0,40.0,4.0,2,10.0,20,0,0,,SweeLi00
9,Matt Spaeth,25,TE,2,2,0,0,0,0,,,,0.0,0.0,2,1,6,6.0,0,0,0.0,6,0.5,3.0,50.0,3.0,1,6.0,6,0,0,,SpaeMa00
10,Gary Russell,22,RB,2,0,6,2,2,3,50.0,3,0.3,1.0,3.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,6,0.3,2,2,0,,RussGa00
11,Ben Roethlisberger,26,QB,2,2,5,0,0,0,20.0,4,0.0,0.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,0.0,0,0,0,,RoetBe00
12,Byron Leftwich,28,QB,1,0,4,-2,0,0,0.0,2,-0.5,-2.0,4.0,0,0,0,,0,0,,,0.0,0.0,,,4,-0.5,-2,0,0,,LeftBy00
13,Ryan Clark,29,FS,1,1,1,-4,0,0,0.0,-4,-4.0,-4.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-4.0,-4,0,0,,ClarRy20
,Team Totals,,,3,3,95,275,4,17,40.0,27,2.9,91.7,32.0,91,54,692,12.8,3,29,41.8,65,18.0,230.7,59.3,7.6,149,6.5,967,7,2,,-9999
