Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Pierre Thomas,25,RB,3,2,36,143,1,8,63.9,12,4.0,47.7,12.0,15,12,111,9.3,2,4,53.3,38,4.0,37.0,80.0,7.4,48,5.3,254,3,0,,ThomPi00
2,Reggie Bush,24,RB,3,2,17,117,1,7,52.9,46,6.9,39.0,5.7,14,10,95,9.5,1,6,57.1,28,3.3,31.7,71.4,6.8,27,7.9,212,2,1,,BushRe00
3,Marques Colston,26,WR,3,3,0,0,0,0,,,,0.0,0.0,23,15,188,12.5,1,11,56.5,27,5.0,62.7,65.2,8.2,15,12.5,188,1,0,,ColsMa00
4,Devery Henderson,27,WR,3,3,1,-7,0,0,0.0,-7,-7.0,-2.3,0.3,18,15,182,12.1,2,9,72.2,44,5.0,60.7,83.3,10.1,16,10.9,175,2,0,,HendDe00
5,Jeremy Shockey,29,TE,3,2,0,0,0,0,,,,0.0,0.0,9,7,58,8.3,2,4,55.6,17,2.3,19.3,77.8,6.4,7,8.3,58,2,0,,ShocJe00
6,David Thomas,26,TE,3,2,1,0,0,0,0.0,,0.0,0.0,0.3,7,4,41,10.3,0,3,57.1,17,1.3,13.7,57.1,5.9,5,8.2,41,0,0,,ThomDa02
7,Lance Moore,26,WR,3,1,0,0,0,0,,,,0.0,0.0,6,5,32,6.4,0,1,16.7,21,1.7,10.7,83.3,5.3,5,6.4,32,0,0,,MoorLa00
8,Robert Meachem,25,WR,3,0,1,4,0,0,0.0,4,4.0,1.3,0.3,7,4,25,6.3,0,1,28.6,12,1.3,8.3,57.1,3.6,5,5.8,29,0,0,,MeacRo00
9,Lynell Hamilton,24,RB,2,0,6,22,1,3,50.0,11,3.7,11.0,3.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,6,3.7,22,1,0,,HamiLy20
10,Mike Bell,26,RB,2,0,8,15,0,0,0.0,5,1.9,7.5,4.0,0,0,0,,0,0,,,0.0,0.0,,,8,1.9,15,0,0,,BellMi00
11,Drew Brees,30,QB,3,3,5,-4,0,0,0.0,-1,-0.8,-1.3,1.7,0,0,0,,0,0,,,0.0,0.0,,,5,-0.8,-4,0,2,SB MVP,BreeDr00
,Team Totals,,,3,3,75,290,3,18,46.7,46,3.9,96.7,25.0,100,72,732,10.2,8,39,54.0,44,24.0,244.0,72.0,7.3,147,7.0,1022,11,3,,-9999
