,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,,-additional
Rk,Player,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Marshawn Lynch,27,RB,16,16,301,1257,12,73,48.2,43,4.2,78.6,18.8,44,36,316,8.8,2,12,40.9,55,2.3,19.8,81.8,7.2,337,4.7,1573,14,4,PB,LyncMa00
2,Russell Wilson,25,QB,16,16,96,539,1,31,47.9,27,5.6,33.7,6.0,0,0,0,,0,0,,,0.0,0.0,,,96,5.6,539,1,10,PBAP OPoY-4,WilsRu00
3,Robert Turbin,24,RB,16,0,77,264,0,10,39.0,15,3.4,16.5,4.8,12,8,60,7.5,0,2,41.7,19,0.5,3.8,66.7,5.0,85,3.8,324,0,1,,TurbRo00
4,Christine Michael,23,RB,4,0,18,79,0,5,61.1,13,4.4,19.8,4.5,0,0,0,,0,0,,,0.0,0.0,,,18,4.4,79,0,0,,MichCh00
5,Golden Tate,25,WR,16,13,3,31,0,1,66.7,20,10.3,1.9,0.2,99,64,898,14.0,5,41,54.5,80,4.0,56.1,64.6,9.1,67,13.9,929,5,3,,TateGo00
6,Spencer Ware,22,RB,2,0,3,10,0,1,33.3,5,3.3,5.0,1.5,0,0,0,,0,0,,,0.0,0.0,,,3,3.3,10,0,0,,WareSp00
7,Doug Baldwin,25,WR,16,9,2,6,0,0,0.0,3,3.0,0.4,0.1,72,50,778,15.6,5,38,56.9,52,3.1,48.6,69.4,10.8,52,15.1,784,5,0,,BaldDo00
8,Derrick Coleman,23,RB,12,3,2,3,0,0,0.0,4,1.5,0.3,0.2,8,8,62,7.8,1,4,87.5,12,0.7,5.2,100.0,7.8,10,6.5,65,1,1,,ColeDe00
9,Tarvaris Jackson,30,QB,3,0,4,1,1,1,25.0,5,0.3,0.3,1.3,0,0,0,,0,0,,,0.0,0.0,,,4,0.3,1,1,0,,JackTa00
10,Zach Miller,28,TE,14,12,0,0,0,0,,,,0.0,0.0,56,33,387,11.7,5,19,44.6,60,2.4,27.6,58.9,6.9,33,11.7,387,5,0,,MillZa01
11,Jermaine Kearse,23,WR,15,5,0,0,0,0,,,,0.0,0.0,38,22,346,15.7,4,16,55.3,43,1.5,23.1,57.9,9.1,22,15.7,346,4,1,,KearJe01
12,Luke Willson,23,TE,16,7,0,0,0,0,,,,0.0,0.0,28,20,272,13.6,1,14,53.6,39,1.3,17.0,71.4,9.7,20,13.6,272,1,0,,WillLu00
13,Sidney Rice,27,WR,8,6,0,0,0,0,,,,0.0,0.0,35,15,231,15.4,3,11,40.0,31,1.9,28.9,42.9,6.6,15,15.4,231,3,1,,RiceSi01
14,Kellen Davis,28,TE,15,4,0,0,0,0,,,,0.0,0.0,4,3,32,10.7,1,2,75.0,23,0.2,2.1,75.0,8.0,3,10.7,32,1,0,,DaviKe01
15,Michael Robinson,30,FB,9,3,1,0,0,0,0.0,,0.0,0.0,0.1,3,2,27,13.5,0,1,66.7,21,0.2,3.0,66.7,9.0,3,9.0,27,0,0,,RobiMi00
16,Percy Harvin,25,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,17,17.0,0,1,100.0,17,1.0,17.0,100.0,17.0,1,17.0,17,0,0,,HarvPe00
17,Chris Maragos,26,DB,16,0,1,0,0,0,0.0,,0.0,0.0,0.1,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,2,,MaraCh99
18,Earl Thomas,24,FS,16,16,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,PBAP-1AP DPoY-3,ThomEa99
19,Stephen Williams,27,WR,4,0,0,0,0,0,,,,0.0,0.0,2,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,WillSt01
20,Ricardo Lockette,27,WR,8,1,1,-2,0,0,0.0,-2,-2.0,-0.3,0.1,7,5,82,16.4,0,3,71.4,33,0.6,10.3,71.4,11.7,6,13.3,80,0,0,,LockRi00
,Team Totals,,,16,16,509,2188,14,122,46.4,43,4.3,136.8,31.8,410,267,3508,13.1,27,164,51.5,80,16.7,219.3,65.1,8.6,776,7.3,5696,41,23,,-9999
