Rk,Player,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Ronnie Hillman,24,RB,16,10,207,863,7,44,43.0,72,4.2,53.9,12.9,35,24,111,4.6,0,3,31.4,14,1.5,6.9,68.6,3.2,231,4.2,974,7,3,,HillRo00
2,C.J. Anderson,24,RB,15,6,152,720,5,34,38.8,48,4.7,48.0,10.1,36,25,183,7.3,0,6,25.0,27,1.7,12.2,69.4,5.1,177,5.1,903,5,2,,AndeC.00
3,Brock Osweiler,25,QB,8,7,21,61,1,6,42.9,8,2.9,7.6,2.6,0,0,0,,0,0,,,0.0,0.0,,,21,2.9,61,1,4,,OsweBr00
4,Juwan Thompson,23,RB,15,1,18,48,0,2,27.8,12,2.7,3.2,1.2,9,6,51,8.5,0,1,33.3,16,0.4,3.4,66.7,5.7,24,4.1,99,0,0,,ThomJu01
5,Emmanuel Sanders,28,WR,15,15,3,29,0,1,66.7,24,9.7,1.9,0.2,136,76,1135,14.9,6,51,45.6,75,5.1,75.7,55.9,8.3,79,14.7,1164,6,2,,SandEm00
6,Andre Caldwell,30,WR,14,0,1,3,0,1,100.0,3,3.0,0.2,0.1,22,10,72,7.2,2,4,31.8,24,0.7,5.1,45.5,3.3,11,6.8,75,2,0,,CaldAn00
7,Cody Latimer,23,WR,14,1,2,1,0,0,50.0,5,0.5,0.1,0.1,11,6,59,9.8,1,4,45.5,15,0.4,4.2,54.5,5.4,8,7.5,60,1,0,,LatiCo00
8,Demaryius Thomas,28,WR,16,16,0,0,0,0,,,,0.0,0.0,177,105,1304,12.4,6,63,49.2,72,6.6,81.5,59.3,7.4,105,12.4,1304,6,2,PB,ThomDe03
9,Owen Daniels,33,TE,16,16,0,0,0,0,,,,0.0,0.0,77,46,517,11.2,3,27,50.6,37,2.9,32.3,59.7,6.7,46,11.2,517,3,0,,DaniOw00
10,Jordan Norwood,29,WR,11,5,0,0,0,0,,,,0.0,0.0,32,22,207,9.4,0,11,43.8,34,2.0,18.8,68.8,6.5,22,9.4,207,0,1,,NorwJo00
11,Bennie Fowler,24,WR,16,1,0,0,0,0,,,,0.0,0.0,25,16,203,12.7,0,11,48.0,41,1.0,12.7,64.0,8.1,16,12.7,203,0,0,,FowlBe00
12,Vernon Davis,31,TE,9,4,0,0,0,0,,,,0.0,0.0,28,20,201,10.1,0,11,64.3,23,2.2,22.3,71.4,7.2,20,10.1,201,0,0,,DaviVe00
13,Virgil Green,27,TE,16,5,0,0,0,0,,,,0.0,0.0,15,12,173,14.4,1,10,80.0,32,0.8,10.8,80.0,11.5,12,14.4,173,1,0,,GreeVi00
14,Trevor Siemian,24,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,,SiemTr00
15,Peyton Manning,39,QB,10,9,6,-6,0,0,0.0,-1,-1.0,-0.6,0.6,0,0,0,,0,0,,,0.0,0.0,,,6,-1.0,-6,0,1,,MannPe00
,Team Totals,,,16,16,411,1718,13,88,40.4,72,4.2,107.4,25.7,603,368,4216,11.5,19,202,46.3,75,23.0,263.5,61.0,7.0,779,7.6,5934,32,15,,-9999
