Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,C.J. Anderson,24,RB,3,1,54,234,2,9,29.6,34,4.3,78.0,18.0,10,9,39,4.3,0,0,20.0,8,3.0,13.0,90.0,3.9,63,4.3,273,2,0,,AndeC.00
2,Emmanuel Sanders,28,WR,3,3,0,0,0,0,,,,0.0,0.0,24,16,230,14.4,0,11,66.7,34,5.3,76.7,66.7,9.6,16,14.4,230,0,0,,SandEm00
3,Owen Daniels,33,TE,3,3,0,0,0,0,,,,0.0,0.0,8,5,61,12.2,2,3,37.5,21,1.7,20.3,62.5,7.6,5,12.2,61,2,0,,DaniOw00
4,Ronnie Hillman,24,RB,3,2,32,54,0,2,18.8,9,1.7,18.0,10.7,4,1,7,7.0,0,0,0.0,7,0.3,2.3,25.0,1.8,33,1.8,61,0,0,,HillRo00
5,Demaryius Thomas,28,WR,3,3,0,0,0,0,,,,0.0,0.0,21,7,60,8.6,0,4,23.8,15,2.3,20.0,33.3,2.9,7,8.6,60,0,0,,ThomDe03
6,Andre Caldwell,30,WR,3,0,0,0,0,0,,,,0.0,0.0,4,3,36,12.0,0,2,50.0,22,1.0,12.0,75.0,9.0,3,12.0,36,0,0,,CaldAn00
7,Bennie Fowler,24,WR,2,0,0,0,0,0,,,,0.0,0.0,5,2,35,17.5,0,1,40.0,31,1.0,17.5,40.0,7.0,2,17.5,35,0,0,,FowlBe00
8,Cody Latimer,23,WR,2,0,0,0,0,0,,,,0.0,0.0,3,3,31,10.3,0,2,66.7,13,1.5,15.5,100.0,10.3,3,10.3,31,0,0,,LatiCo00
9,Jordan Norwood,29,WR,3,1,0,0,0,0,,,,0.0,0.0,8,3,26,8.7,0,2,25.0,13,1.0,8.7,37.5,3.3,3,8.7,26,0,0,,NorwJo00
10,Virgil Green,27,TE,2,1,0,0,0,0,,,,0.0,0.0,3,2,14,7.0,0,1,33.3,11,1.0,7.0,66.7,4.7,2,7.0,14,0,0,,GreeVi00
11,Peyton Manning,39,QB,2,2,5,10,0,1,20.0,12,2.0,5.0,2.5,0,0,0,,0,0,,,0.0,0.0,,,5,2.0,10,0,2,,MannPe00
12,Vernon Davis,31,TE,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,DaviVe00
,Team Totals,,,3,3,91,298,2,12,25.3,34,3.3,99.3,30.3,91,51,539,10.6,2,26,38.5,34,17.0,179.7,56.0,5.9,142,5.9,837,4,2,,-9999
