Rk,Player,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,LeGarrette Blount,30,RB,16,8,299,1161,18,68,42.5,44,3.9,72.6,18.7,8,7,38,5.4,0,1,50.0,16,0.4,2.4,87.5,4.8,306,3.9,1199,18,2,,BlouLe00
2,Dion Lewis,26,RB,7,5,64,283,0,14,57.8,15,4.4,40.4,9.1,24,17,94,5.5,0,4,41.7,16,2.4,13.4,70.8,3.9,81,4.7,377,0,1,,LewiDi00
3,James White,24,RB,16,4,39,166,0,8,48.7,16,4.3,10.4,2.4,86,60,551,9.2,5,26,45.3,61,3.8,34.4,69.8,6.4,99,7.2,717,5,0,,WhitJa02
4,Jacoby Brissett,24,QB,3,2,16,83,1,5,43.8,27,5.2,27.7,5.3,0,0,0,,0,0,,,0.0,0.0,,,16,5.2,83,1,3,,BrisJa00
5,Tom Brady,39,QB,12,12,28,64,0,11,42.9,15,2.3,5.3,2.3,0,0,0,,0,0,,,0.0,0.0,,,28,2.3,64,0,5,PBAP-2AP MVP-2AP OPoY-4,BradTo00
6,Julian Edelman,30,WR,16,13,12,57,0,3,66.7,9,4.8,3.6,0.8,159,98,1106,11.3,3,56,52.2,77,6.1,69.1,61.6,7.0,110,10.6,1163,3,3,,EdelJu00
7,D.J. Foster,23,WR,3,0,7,24,0,0,14.3,7,3.4,8.0,2.3,2,1,2,2.0,0,0,0.0,2,0.3,0.7,50.0,1.0,8,3.3,26,0,0,,FostD.01
8,Martellus Bennett,29,TE,16,12,2,10,0,0,100.0,6,5.0,0.6,0.1,73,55,701,12.7,7,31,54.8,58,3.4,43.8,75.3,9.6,57,12.5,711,7,0,,BennMa00
9,Chris Hogan,29,WR,15,14,3,9,0,0,33.3,6,3.0,0.6,0.2,58,38,680,17.9,4,23,55.2,79,2.5,45.3,65.5,11.7,41,16.8,689,4,1,,HogaCh00
10,Jimmy Garoppolo,25,QB,6,2,10,6,0,1,10.0,10,0.6,1.0,1.7,1,1,3,3.0,0,0,0.0,3,0.2,0.5,100.0,3.0,11,0.8,9,0,2,,GaroJi00
11,Matthew Slater,31,WR,13,0,1,5,0,1,100.0,5,5.0,0.4,0.1,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,1,5.0,5,0,2,PBAP-1,SlatMa00
12,Brandon Bolden,26,RB,14,0,1,4,0,0,100.0,4,4.0,0.3,0.1,4,2,15,7.5,0,1,25.0,13,0.1,1.1,50.0,3.8,3,6.3,19,0,0,,BoldBr00
13,Rob Gronkowski,27,TE,8,6,0,0,0,0,,,,0.0,0.0,38,25,540,21.6,3,20,63.2,53,3.1,67.5,65.8,14.2,25,21.6,540,3,0,,GronRo00
14,Malcolm Mitchell,24,WR,14,6,0,0,0,0,,,,0.0,0.0,48,32,401,12.5,4,23,58.3,56,2.3,28.6,66.7,8.4,32,12.5,401,4,0,,MitcMa01
15,Danny Amendola,31,WR,12,4,0,0,0,0,,,,0.0,0.0,29,23,243,10.6,4,14,62.1,32,1.9,20.3,79.3,8.4,23,10.6,243,4,3,,AmenDa00
16,Michael Floyd,27,WR,2,1,0,0,0,0,,,,0.0,0.0,6,4,42,10.5,1,3,66.7,14,2.0,21.0,66.7,7.0,4,10.5,42,1,0,,FloyMi00
17,Matt Lengel,26,TE,6,0,0,0,0,0,,,,0.0,0.0,3,2,22,11.0,1,1,66.7,18,0.3,3.7,66.7,7.3,2,11.0,22,1,0,,LengMa00
18,James Develin,28,RB,16,4,0,0,0,0,,,,0.0,0.0,6,3,18,6.0,0,2,33.3,13,0.2,1.1,50.0,3.0,3,6.0,18,0,0,,DeveJa00
,Team Totals,,,16,16,482,1872,19,111,45.0,44,3.9,117.0,30.1,546,368,4456,12.1,32,205,52.6,79,23.0,278.5,67.4,8.2,850,7.4,6328,51,22,,-9999
