Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards,-9999
1,Isiah Pacheco,23,RB,3,3,37,197,1,8,48.6,39,5.3,65.7,12.3,7,6,65,10.8,0,3,71.4,18,2.0,21.7,85.7,9.3,43,6.1,262,1,0,,PachIs00
2,Travis Kelce,33,TE,3,3,0,0,0,0,,,,0.0,0.0,31,27,257,9.5,4,15,74.2,22,9.0,85.7,87.1,8.3,27,9.5,257,4,1,,KelcTr00
3,Marquez Valdes-Scantling,28,WR,3,2,0,0,0,0,,,,0.0,0.0,11,7,122,17.4,2,7,63.6,29,2.3,40.7,63.6,11.1,7,17.4,122,2,0,,ValdMa00
4,Jerick McKinnon,30,RB,3,0,19,60,0,3,47.4,14,3.2,20.0,6.3,7,5,32,6.4,0,1,57.1,13,1.7,10.7,71.4,4.6,24,3.8,92,0,0,,McKiJe00
5,JuJu Smith-Schuster,26,WR,3,2,0,0,0,0,,,,0.0,0.0,12,10,89,8.9,0,7,58.3,16,3.3,29.7,83.3,7.4,10,8.9,89,0,0,,SmitJu00
6,Kadarius Toney,23,WR,3,1,1,14,0,1,100.0,14,14.0,4.7,0.3,10,7,50,7.1,1,3,70.0,9,2.3,16.7,70.0,5.0,8,8.0,64,1,0,,ToneKa00
7,Patrick Mahomes,27,QB,3,3,12,60,0,4,50.0,26,5.0,20.0,4.0,0,0,0,,0,0,,,0.0,0.0,,,12,5.0,60,0,1,SB MVP,MahoPa00
8,Noah Gray,23,TE,3,3,1,0,0,0,0.0,,0.0,0.0,0.3,4,3,37,12.3,0,1,75.0,27,1.0,12.3,75.0,9.3,4,9.3,37,0,0,,GrayNo00
9,Justin Watson,26,WR,2,0,0,0,0,0,,,,0.0,0.0,3,3,30,10.0,0,3,100.0,12,1.5,15.0,100.0,10.0,3,10.0,30,0,0,,WatsJu01
10,Skyy Moore,22,WR,3,0,2,7,0,0,50.0,4,3.5,2.3,0.7,9,5,17,3.4,1,1,22.2,8,1.7,5.7,55.6,1.9,7,3.4,24,1,0,,MoorSk01
11,Mecole Hardman,24,WR,1,0,2,7,0,1,100.0,5,3.5,7.0,2.0,3,2,10,5.0,0,1,33.3,11,2.0,10.0,66.7,3.3,4,4.3,17,0,0,,HardMe00
12,Marcus Kemp,27,WR,1,0,0,0,0,0,,,,0.0,0.0,1,1,13,13.0,0,1,100.0,13,1.0,13.0,100.0,13.0,1,13.0,13,0,0,,KempMa00
13,Blake Bell,31,TE,1,0,0,0,0,0,,,,0.0,0.0,2,1,4,4.0,0,0,50.0,4,1.0,4.0,50.0,2.0,1,4.0,4,0,0,,BellBl00
14,Jody Fortson,27,TE,1,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,,FortJo01
15,Ronald Jones II,25,RB,1,0,1,0,0,0,0.0,,0.0,0.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,0.0,0,0,0,,JoneRo01
16,Chad Henne,37,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,1.0,0,0,0,,0,0,,,0.0,0.0,,,1,-1.0,-1,0,0,,HennCh01
,Team Totals,,,3,3,76,344,1,17,48.7,39,4.5,114.7,25.3,101,77,726,9.4,8,43,63.4,29,25.7,242.0,76.2,7.2,153,7.0,1070,9,2,,-9999
